rank,title,recent_episode_rating,avg_rating,link
80,토끼 여주의 새엄마가 되었다,-,-,https://comic.naver.com/webtoon/list?titleId=823776
81,용사참수인,-,-,https://comic.naver.com/webtoon/list?titleId=783590
82,마왕 마석호,-,-,https://comic.naver.com/webtoon/list?titleId=842699
83,펫로스클럽,-,-,https://comic.naver.com/webtoon/list?titleId=842838
84,말없는 전학생,-,-,https://comic.naver.com/webtoon/list?titleId=839102
85,우리집에 온 여우들,-,-,https://comic.naver.com/webtoon/list?titleId=837101
86,나만 최강 초월자,-,-,https://comic.naver.com/webtoon/list?titleId=827423
87,배고픈 새가 일찍 일어난다,-,-,https://comic.naver.com/webtoon/list?titleId=848896
88,꿈의 엔트리,-,-,https://comic.naver.com/webtoon/list?titleId=843001
89,짝사랑을 망치고 싶어,-,-,https://comic.naver.com/webtoon/list?titleId=841562
90,그 냉장고 안에서는,-,-,https://comic.naver.com/webtoon/list?titleId=843427
91,동경,-,-,https://comic.naver.com/webtoon/list?titleId=842624
92,DARK MOON: 두 개의 달,-,-,https://comic.naver.com/webtoon/list?titleId=843898
93,은애하는 도적님아,-,-,https://comic.naver.com/webtoon/list?titleId=846074
94,모두가 날 싫어한다,-,-,https://comic.naver.com/webtoon/list?titleId=843426
95,사운즈 라이크,-,-,https://comic.naver.com/webtoon/list?titleId=833041
96,동그란 그녀와 소심한 그 남자,-,-,https://comic.naver.com/webtoon/list?titleId=812156
97,또다시 열일곱,-,-,https://comic.naver.com/webtoon/list?titleId=811634
98,썩어도 혈육,-,-,https://comic.naver.com/webtoon/list?titleId=842395
99,이매망량,-,-,https://comic.naver.com/webtoon/list?titleId=819506
100,한판,-,-,https://comic.naver.com/webtoon/list?titleId=828310
101,멸망으로 시작하는! 근미래 생존법,-,-,https://comic.naver.com/webtoon/list?titleId=811255
102,너랑 걷는 개 좋아,-,-,https://comic.naver.com/webtoon/list?titleId=836908
103,청춘 관찰기,-,-,https://comic.naver.com/webtoon/list?titleId=844048
104,클리셰클럽,-,-,https://comic.naver.com/webtoon/list?titleId=838958
105,"킬러와 여고생, 그리고 개",-,-,https://comic.naver.com/webtoon/list?titleId=839282
106,세이브 디 어스!,-,-,https://comic.naver.com/webtoon/list?titleId=840092
107,데이팅 캣,-,-,https://comic.naver.com/webtoon/list?titleId=814039
108,괴력 난신,-,-,https://comic.naver.com/webtoon/list?titleId=821597
109,절대회귀,-,-,https://comic.naver.com/webtoon/list?titleId=828715
110,오! 나의 교주님,-,-,https://comic.naver.com/webtoon/list?titleId=841624
111,김부장,-,-,https://comic.naver.com/webtoon/list?titleId=783053
112,예쁨 컬렉션,-,-,https://comic.naver.com/webtoon/list?titleId=844519
113,신입사원 김철수,-,-,https://comic.naver.com/webtoon/list?titleId=812594
114,벙커의 낮,-,-,https://comic.naver.com/webtoon/list?titleId=846643
115,마음의소리(였던 것),-,-,https://comic.naver.com/webtoon/list?titleId=821793
116,회귀한 용병은 다 계획이 있다,-,-,https://comic.naver.com/webtoon/list?titleId=832557
117,이섭의 연애,-,-,https://comic.naver.com/webtoon/list?titleId=813454
118,천씨세가의 망나니가 되었다,-,-,https://comic.naver.com/webtoon/list?titleId=847541
119,엄마를 만나러 가는 길,-,-,https://comic.naver.com/webtoon/list?titleId=834369
120,우렉 마지노,-,-,https://comic.naver.com/webtoon/list?titleId=838432
